Landmark_Name,Landmark_Alternate_Name,BuildType,USE_ORIG,Use_Second,Use_Tertia,Borough,Neighborhood,Address,latitude,longitude,geometry,FID,OBJECTID,Block,Lot,BBL_Code,Shape_Leng,Shape_Area,URL_IMAGE
"New York Free Circulating Library, Bloomingdale Branch",now Ukrainian Academy of Arts and Sciences,Library,"Civic, library","","",Manhattan,Upper West Side,206 West 100th Street,40.796722,-73.96915,Point,863,528,1871,138,1018710138,196.94562,2376.1135,http://www1.nyc.gov/assets/lpc/images/content/designations/1616.jpg
Grace Church,"",Church,"Religious, church, Episcopal","Church, Episcopal","",Manhattan,West Village,800 Broadway,40.731934,-73.99091,Point,580,1047,557,1,1005570001,933.8932,37727.402,http://www1.nyc.gov/assets/lpc/images/content/designations/0203.jpg
14 Fulton Street Building,"",Countinghouse,"Commercial, countinghouse","Commercial, Retail","",Manhattan,South Street Seaport,14 Fulton Street,40.70666,-74.003716,Point,540,1007,74,1,1000740001,92.71702,530.6956,http://www1.nyc.gov/assets/lpc/images/content/designations/0061.jpg
New York Marble Cemetery,"",Cemetery,Cemetery,Cemetery,"",Manhattan,East Village,"interior of the block bounded by East 2nd and East 3rd Streets, Second Avenue, and the Bowery",40.72562,-73.990944,Point,1353,217,458,30,1004580030,873.5252,21833.77,http://www1.nyc.gov/assets/lpc/images/content/designations/0466.jpg
361 Broadway Building,also known as the James S. White Building,Store and Lofts,"Commercial, store and lofts","","",Manhattan,Civic Center,361 Broadway,40.717514,-74.004,Point,1445,309,174,31,1001740031,456.1697,9747.416,http://www1.nyc.gov/assets/lpc/images/content/designations/1225.jpg
Summit Hotel,now Doubletree Metropolitan Hotel,Hotel,"Commercial, hotel","","",Manhattan,Turtle Bay/East Midtown,569 Lexington Avenue,40.75668,-73.97142,Point,1067,733,1305,7501,1013057501,854.2937,32711.836,http://www1.nyc.gov/assets/lpc/images/content/designations/2176.jpg
American Telephone & Telegraph Company Building,"",Office Building,"Commercial, office building",Office building,"",Manhattan,Financial District,195 Broadway,40.71086,-74.009766,Point,1383,247,80,1,1000800001,871.61127,38137.723,http://www1.nyc.gov/assets/lpc/images/content/designations/2194.jpg
"Interborough Rapid Transit System, Manhattan Valley Viaduct","",Bridge,"Infrastructure, bridge",Subway viaduct,"",Manhattan,"Manhattanville, Morningside Heights","Broadway, from West 122nd to West 135th Streets",40.815952,-73.95811,Point,43,1250,0,0,0,6819.5156,150160.45,http://www1.nyc.gov/assets/lpc/images/content/designations/1094.jpg
Saint Nicholas Russian Orthodox Cathedral,"",Church,"Religious, church, Russian Orthodox","","",Manhattan,East Harlem South,15 East 97th Street,40.78833,-73.95408,Point,893,559,1603,11,1016030011,356.84464,7748.9277,http://www1.nyc.gov/assets/lpc/images/content/designations/0834.jpg
Home Life Insurance Company Building,inforporating the Postal Telegraph Building,Office Building,"Commercial, office building","",Office bldg,Manhattan,"Civic Center, Tribeca",256-257 and 253 Broadway,40.713444,-74.00741,Point,1296,160,134,7501,1001347501,589.00555,20026.615,http://www1.nyc.gov/assets/lpc/images/content/designations/1751.jpg
"Cornelius Baker Hall of Philosophy, New York University",now Bronx Community College,School,"Institutional, school, university","","",The Bronx,"University Heights, Morris Heights",Hall of Fame Terrace at Sedgwick Avenue,40.859055,-73.91353,Point,554,1021,3222,62,2032220062,301.8467,5365.8022,http://www1.nyc.gov/assets/lpc/images/content/designations/0115.jpg
